"NomBan","NomAlb","Descrip","Imagen","TipoAlb","NumAlb","EnLista","Anio","Mes","Dia","NumEscuchasMax","LinkSpotify","LinkAmazon"
"A Day to Remember","Attack of the Killer B-Sides",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"A Day to Remember","For Those Who Have Heart",NULL,NULL,NULL,NULL,"SI","2007",NULL,NULL,NULL,NULL,NULL
"A Day to Remember","Homesick",NULL,NULL,NULL,NULL,"SI","2009",NULL,NULL,NULL,NULL,NULL
"A Day to Remember","What Separates Me from You",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"AC/DC","Back in Black",NULL,NULL,NULL,NULL,"SI","1980",NULL,NULL,NULL,NULL,NULL
"AC/DC","Dirty Deeds Done Dirt Cheap",NULL,NULL,NULL,NULL,"SI","1976",NULL,NULL,NULL,NULL,NULL
"AC/DC","High Voltage",NULL,NULL,NULL,NULL,"SI","1976",NULL,NULL,NULL,NULL,NULL
"AC/DC","Highway to Hell",NULL,NULL,NULL,NULL,"SI","1979",NULL,NULL,NULL,NULL,NULL
"AC/DC","Let There Be Rock",NULL,NULL,NULL,NULL,"SI","1977",NULL,NULL,NULL,NULL,NULL
"AC/DC","T.N.T.",NULL,NULL,NULL,NULL,"SI","1975",NULL,NULL,NULL,NULL,NULL
"AC/DC","The Razors Edge",NULL,NULL,NULL,NULL,"SI","1990",NULL,NULL,NULL,NULL,NULL
"Accept","Balls to the Wall",NULL,NULL,NULL,NULL,"SI","1983",NULL,NULL,NULL,NULL,NULL
"Accept","Blood of the Nations",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"Accept","Breaker",NULL,NULL,NULL,NULL,"SI","1981",NULL,NULL,NULL,NULL,NULL
"Accept","Metal Heart",NULL,NULL,NULL,NULL,"SI","1985",NULL,NULL,NULL,NULL,NULL
"Accept","Restless and Wild",NULL,NULL,NULL,NULL,"SI","1982",NULL,NULL,NULL,NULL,NULL
"Accept","Stalingrad",NULL,NULL,NULL,NULL,"SI","2012",NULL,NULL,NULL,NULL,NULL
"After Forever","After Forever",NULL,NULL,NULL,NULL,"SI","2007",NULL,NULL,NULL,NULL,NULL
"After Forever","Decipher",NULL,NULL,NULL,NULL,"SI","2001",NULL,NULL,NULL,NULL,NULL
"After Forever","Invisible Circles",NULL,NULL,NULL,NULL,"SI","2004",NULL,NULL,NULL,NULL,NULL
"After Forever","Prison of Desire",NULL,NULL,NULL,NULL,"SI","2000",NULL,NULL,NULL,NULL,NULL
"After Forever","Remagine",NULL,NULL,NULL,NULL,"SI","2005",NULL,NULL,NULL,NULL,NULL
"Agalloch","Ashes Against the Grain",NULL,NULL,NULL,NULL,"SI","2006",NULL,NULL,NULL,NULL,NULL
"Agalloch","Marrow of the Spirit",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"Agalloch","Pale Folklore",NULL,NULL,NULL,NULL,"SI","1999",NULL,NULL,NULL,NULL,NULL
"Agalloch","The Mantle",NULL,NULL,NULL,NULL,"SI","2002",NULL,NULL,NULL,NULL,NULL
"Airbourne","Black Dog Barking",NULL,NULL,NULL,NULL,"SI","2013",NULL,NULL,NULL,NULL,NULL
"Airbourne","Boneshaker",NULL,NULL,NULL,NULL,"SI","2019",NULL,NULL,NULL,NULL,NULL
"Airbourne","Breakin' Outta Hell",NULL,NULL,NULL,NULL,"SI","2016",NULL,NULL,NULL,NULL,NULL
"Airbourne","No Guts No Glory",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"Airbourne","Runnin' Wild",NULL,NULL,NULL,NULL,"SI","2007",NULL,NULL,NULL,NULL,NULL
"Alcest","Écailles de lune",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"Alcest","Kodama",NULL,NULL,NULL,NULL,"SI","2016",NULL,NULL,NULL,NULL,NULL
"Alcest","Les Voyages de l'âme",NULL,NULL,NULL,NULL,"SI","2012",NULL,NULL,NULL,NULL,NULL
"Alcest","Shelter",NULL,NULL,NULL,NULL,"SI","2014",NULL,NULL,NULL,NULL,NULL
"Alcest","Souvenirs d'un autre monde",NULL,NULL,NULL,NULL,"SI","2007",NULL,NULL,NULL,NULL,NULL
"Alcest","Spiritual Instinct",NULL,NULL,NULL,NULL,"SI","2019",NULL,NULL,NULL,NULL,NULL
"Alestorm","Back Through Time",NULL,NULL,NULL,NULL,"SI","2011",NULL,NULL,NULL,NULL,NULL
"Alestorm","Black Sails at Midnight",NULL,NULL,NULL,NULL,"SI","2009",NULL,NULL,NULL,NULL,NULL
"Alestorm","Captain Morgan's Revenge",NULL,NULL,NULL,NULL,"SI","2008",NULL,NULL,NULL,NULL,NULL
"Alestorm","No Grave but the Sea",NULL,NULL,NULL,NULL,"SI","2017",NULL,NULL,NULL,NULL,NULL
"Alestorm","Sunset on the Golden Age",NULL,NULL,NULL,NULL,"SI","2014",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Billion Dollar Babies",NULL,NULL,NULL,NULL,"SI","1973",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Goes to Hell",NULL,NULL,NULL,NULL,"SI","1976",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Hey Stoopid",NULL,NULL,NULL,NULL,"SI","1991",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Killer",NULL,NULL,NULL,NULL,"SI","1971",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Lace & Whiskey",NULL,NULL,NULL,NULL,"SI","1977",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Love It to Death",NULL,NULL,NULL,NULL,"SI","1971",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","School's Out",NULL,NULL,NULL,NULL,"SI","1972",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Trash",NULL,NULL,NULL,NULL,"SI","1989",NULL,NULL,NULL,NULL,NULL
"Alice Cooper","Welcome to My Nightmare",NULL,NULL,NULL,NULL,"SI","1975",NULL,NULL,NULL,NULL,NULL
"Alice in Chains","Alice in Chains",NULL,NULL,NULL,NULL,"SI","1995",NULL,NULL,NULL,NULL,NULL
"Alice in Chains","Dirt",NULL,NULL,NULL,NULL,"SI","1992",NULL,NULL,NULL,NULL,NULL
"Alice in Chains","Facelift",NULL,NULL,NULL,NULL,"SI","1990",NULL,NULL,NULL,NULL,NULL
"Alice in Chains","Jar of Flies",NULL,NULL,NULL,NULL,"SI","1994",NULL,NULL,NULL,NULL,NULL
"All That Remains","A War You Cannot Win",NULL,NULL,NULL,NULL,"SI","2012",NULL,NULL,NULL,NULL,NULL
"All That Remains","For We Are Many",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"All That Remains","Madness",NULL,NULL,NULL,NULL,"SI","2017",NULL,NULL,NULL,NULL,NULL
"All That Remains","Overcome",NULL,NULL,NULL,NULL,"SI","2008",NULL,NULL,NULL,NULL,NULL
"All That Remains","The Fall of Ideals",NULL,NULL,NULL,NULL,"SI","2006",NULL,NULL,NULL,NULL,NULL
"All That Remains","The Order of Things",NULL,NULL,NULL,NULL,"SI","2015",NULL,NULL,NULL,NULL,NULL
"Alter Bridge","AB III",NULL,NULL,NULL,NULL,"SI","2010",NULL,NULL,NULL,NULL,NULL
"Alter Bridge","Blackbird",NULL,NULL,NULL,NULL,"SI","2007",NULL,NULL,NULL,NULL,NULL
"Alter Bridge","Fortress",NULL,NULL,NULL,NULL,"SI","2013",NULL,NULL,NULL,NULL,NULL
"Alter Bridge","One Day Remains",NULL,NULL,NULL,NULL,"SI","2004",NULL,NULL,NULL,NULL,NULL
